time/iterations,time/time_elapsed,act/calibrate_share,ops/critical_on_time_share,rollout/ep_rew_mean,ops/critical_due,ops/brownout_steps,act/executor_switches,act/idle_share,ops/jobs_completed,act/conflicts_repaired,ops/blocked_commands,ops/episodes,ops/min_soc_pct,rollout/ep_len_mean,events/add_jobs,events/outage,ops/below_reserve_steps,ops/revenue_usd,act/job_share,ops/work_lost_steps,events/skipped,time/fps,ops/completed_share,ops/critical_done_on_time,ops/jobs_due_missed,events/close_downlink,time/total_timesteps,act/downlink_slots_used,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss
2,178,0.1179470486111111,0.6017964071856288,2667.123075,334.0,0.0,252.25,0.7556061921296297,899.75,448.0,0.0,8,46.277046999999996,288.0,0.0,17.0,0.0,21892.802499999998,0.12644675925925927,126.5,37.5,12,0.7448261589403973,201.0,308.25,9.75,27648,142.25,709.7995317247179,0.02686827438366082,0.2,4,0.3589409722222222,-31.965226703219944,0.9910149574279785,3e-05,0.11215159,297.5989685058594
3,330,0.12458405671296297,0.6399700598802395,2725.79705,334.0,0.0,272.75,0.7466905381944444,923.75,478.25,0.0,12,45.01652075,288.0,0.0,16.0,0.0,22810.75,0.1287254050925926,101.5,36.25,10,0.7646937086092715,213.75,284.25,8.75,28800,146.75,940.3906622992622,0.018389780578824382,0.2,8,0.3328993055555556,-31.13329479429457,0.9922278523445129,3e-05,0.037727654,528.6506958007812
4,480,0.11919487847222222,0.6347305389221557,2753.46113125,334.0,0.0,268.0,0.75244140625,922.0,456.5,0.0,16,46.269766000000004,288.0,0.0,13.25,0.0,22776.5875,0.1283637152777778,100.5,35.5,9,0.7632450331125827,212.0,286.0,9.0,29952,144.5,886.4332902696398,0.009156218781653378,0.2,12,0.18619791666666666,-31.66061602698432,0.9922569394111633,3e-05,0.028353661,289.9891052246094
5,642,0.12514467592592593,0.6422155688622755,2780.7311250000002,334.0,0.0,268.0,0.7452256944444444,932.0,486.5,0.0,20,45.970087500000005,288.0,0.0,16.5,0.0,22974.86,0.12962962962962962,96.5,34.25,8,0.771523178807947,214.5,276.0,10.0,31104,149.75,916.1014166937935,-0.00848983525712457,0.2,16,0.205078125,-31.81692796283298,0.993309736251831,3e-05,0.014005954,392.7788391113281
6,804,0.13169126157407407,0.6594311377245509,2817.2317666666663,334.0,0.0,266.5,0.7383716724537037,941.5,499.5,0.0,24,45.531491,288.0,0.0,13.75,0.0,23208.497499999998,0.1299370659722222,90.5,34.5,8,0.7793874172185431,220.25,266.5,8.25,32256,152.75,951.1192186143663,0.02056602908608814,0.2,20,0.2727864583333333,-31.997792455885147,0.991562008857727,3e-05,0.03962659,403.6659240722656
7,954,0.12830946180555555,0.6497005988023953,2842.955946428571,334.0,0.0,277.25,0.7405960648148149,951.25,527.75,0.0,28,45.933684,288.0,0.0,12.75,0.0,23383.8525,0.13109447337962962,81.75,38.5,8,0.7874586092715232,217.0,256.75,7.75,33408,160.5,879.7624562581381,0.0026680598449375895,0.2,24,0.13020833333333334,-32.27073436313205,0.9935891628265381,3e-05,0.020781767,376.5736999511719
8,1107,0.13040726273148148,0.6676646706586826,2872.3277125,334.0,0.0,288.0,0.7384078414351851,955.0,550.25,0.0,32,45.82061425,288.0,0.0,14.75,0.0,23416.7575,0.13118489583333334,82.75,31.0,8,0.7905629139072847,223.0,253.0,6.75,34560,159.0,834.8575083414713,0.007209188434191876,0.2,28,0.1460503472222222,-32.273585160573326,0.9947130084037781,3e-05,0.012678171,415.4640197753906
9,1266,0.12539785879629628,0.652694610778443,2892.481983333333,334.0,0.0,277.25,0.7422598379629629,962.75,577.5,0.0,36,47.285877,288.0,0.0,15.5,0.0,23735.364999999998,0.13234230324074076,76.5,29.0,8,0.796978476821192,218.0,245.25,7.5,35712,164.25,992.255369398329,0.013527017035004165,0.2,32,0.2322048611111111,-32.187308841281464,0.9921337962150574,3e-05,0.027876386,455.6363525390625
10,1416,0.12787543402777776,0.6781437125748504,2924.7674475,334.0,0.0,293.75,0.7388057002314814,973.25,593.25,0.0,40,46.27704675,288.0,0.0,15.75,0.0,23809.9125,0.13331886574074073,77.25,38.5,8,0.8056705298013245,226.5,234.75,10.75,36864,175.0,784.5287628173828,0.018263852843018766,0.2,36,0.23177083333333334,-31.76007514529758,0.9942061901092529,3e-05,0.046926785,291.6342468261719
11,1567,0.14006438078703703,0.6811377245508982,2951.1375727272725,334.0,0.0,310.0,0.7263997395833334,978.5,637.75,0.0,44,46.433947,288.0,0.0,13.25,0.0,24267.632500000003,0.13353587962962962,59.5,34.25,8,0.8100165562913908,227.5,229.5,9.5,38016,171.0,711.105716281467,0.0050861654130534995,0.2,40,0.208984375,-32.00325033399794,0.9946398138999939,3e-05,0.018158825,307.3282775878906
