ops/jobs_completed,ops/critical_on_time_share,act/downlink_slots_used,rollout/ep_rew_mean,time/total_timesteps,events/close_downlink,events/skipped,ops/brownout_steps,ops/revenue_usd,ops/work_lost_steps,act/idle_share,time/fps,time/time_elapsed,time/iterations,act/conflicts_repaired,ops/min_soc_pct,ops/blocked_commands,ops/jobs_due_missed,act/calibrate_share,ops/episodes,events/outage,act/job_share,ops/below_reserve_steps,act/executor_switches,ops/completed_share,events/add_jobs,rollout/ep_len_mean,ops/critical_due,ops/critical_done_on_time,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl
1009.5,0.7380239520958083,206.0,728.2771170731708,25344,9.0,35.0,0.0,24723.305,59.0,0.7625868055555556,5,4114,41,782.5,43.5725145,0.0,198.5,0.10120081018518517,82,11.5,0.13621238425925924,0.0,304.0,0.8356788079470199,0.0,288.0,334.0,246.5,160,-0.005371860647574067,0.05,7.700228214263916,0.9983595013618469,3e-05,0.2,-29.72513551712036,24.025139141082764,0.0090637915
994.0,0.6841317365269461,199.5,730.8928380952382,25920,4.0,40.5,0.0,24437.58,67.0,0.7645760995370371,5,4216,42,763.5,48.287427,0.0,214.0,0.10011574074074074,84,14.5,0.1353081597222222,0.0,292.5,0.8228476821192053,0.0,288.0,334.0,228.5,164,-0.0010182259604334832,0.0859375,13.074984550476074,0.997999906539917,3e-05,0.2,-29.536965942382814,27.635377597808837,0.01050555
1006.0,0.7140718562874252,198.0,733.2716395348838,26496,7.0,31.0,0.0,24659.145,54.5,0.7618634259259259,5,4318,43,860.5,48.287427,0.0,202.0,0.10221354166666667,86,13.5,0.1359230324074074,0.0,309.5,0.8327814569536424,0.0,288.0,334.0,238.5,168,-0.003933376306667924,0.1671875,8.238788604736328,0.9988445043563843,3e-05,0.2,-29.00413064956665,20.627834606170655,0.026874065
1017.0,0.7365269461077844,207.5,736.023990909091,27072,5.5,35.5,0.0,24862.375,53.5,0.7630208333333334,5,4421,44,860.0,48.287427,0.0,191.0,0.09968171296296297,88,13.5,0.1372974537037037,0.0,309.5,0.8418874172185431,0.0,288.0,334.0,246.0,172,0.05093725547194481,0.453125,8.954249382019043,0.9986587762832642,3e-05,0.2,-28.28194103240967,22.507838439941406,0.0625579
1027.0,0.7395209580838323,215.0,739.0888355555556,27648,7.5,37.5,0.0,25222.239999999998,46.0,0.7639612268518519,5,4524,45,899.0,47.688069999999996,0.0,181.0,0.09827112268518517,90,11.5,0.13776765046296297,0.0,311.0,0.8501655629139073,0.0,288.0,334.0,247.0,176,0.022415760532021524,0.25,9.577387809753418,0.9984312653541565,3e-05,0.2,-29.220601558685303,23.166802406311035,0.015025328
1023.5,0.7290419161676647,211.0,741.7622652173915,28224,7.0,31.0,0.0,25211.4,48.0,0.7635271990740741,5,4625,46,957.5,47.410234,0.0,184.5,0.09881365740740741,92,15.5,0.13765914351851852,0.0,315.0,0.8472682119205298,0.0,288.0,334.0,243.5,180,-0.0012339571723714471,0.13984375,8.11582088470459,0.9983041882514954,3e-05,0.2,-28.23218765258789,22.295173978805543,0.015585059
1023.0,0.7395209580838323,210.5,744.2486914893618,28800,9.5,35.0,0.0,24943.195,46.5,0.7676866319444444,5,4729,47,926.5,46.67924,0.0,185.0,0.09497974537037038,94,19.5,0.13733362268518517,0.0,311.0,0.8468543046357615,0.0,288.0,334.0,247.0,184,-0.002352220076136291,0.0453125,12.650691986083984,0.9986161589622498,3e-05,0.2,-28.168695735931397,25.286870193481445,0.006563276
1037.0,0.7559880239520957,221.0,746.7506083333334,29376,11.0,37.0,0.0,25231.385000000002,49.0,0.7631293402777777,5,4834,48,970.5,45.056491,0.0,171.0,0.09834346064814814,96,14.0,0.13852719907407407,0.0,311.5,0.8584437086092715,0.0,288.0,334.0,252.5,188,-0.0019194562453776598,0.03515625,10.41335391998291,0.998420238494873,3e-05,0.2,-27.880286026000977,27.177750301361083,0.007913595
1033.5,0.7440119760479043,226.5,748.9437877551021,29952,5.5,40.0,0.0,25209.73,52.0,0.7590422453703705,5,4937,49,979.5,45.933684,0.0,174.5,0.10221354166666667,98,14.0,0.13874421296296297,0.0,302.0,0.855546357615894,0.0,288.0,334.0,248.5,192,0.001625535381026566,0.07734375,6.7429585456848145,0.9990136623382568,3e-05,0.2,-28.066455078125,17.71254692077637,0.0094344495
1031.5,0.7395209580838323,222.0,751.4607800000001,30528,8.5,38.0,0.0,25216.43,52.0,0.7702907986111112,5,5043,50,998.0,47.278597000000005,0.0,176.5,0.09132667824074074,100,11.0,0.13838252314814814,0.0,309.5,0.8538907284768211,0.0,288.0,334.0,247.0,196,0.001396200992166996,0.142578125,9.193663597106934,0.9985944628715515,3e-05,0.2,-28.215179443359375,24.277502918243407,0.01589239
1042.5,0.7589820359281436,230.5,754.394184,31104,7.0,37.5,0.0,25500.449999999997,44.5,0.7660951967592593,5,5148,51,974.5,45.9116955,0.0,165.5,0.0945095486111111,102,15.0,0.13939525462962965,0.0,318.5,0.8629966887417219,0.0,288.0,334.0,253.5,200,0.0002887189388275146,0.016015625,11.551858901977539,0.9988359808921814,3e-05,0.2,-27.436901473999022,22.42971591949463,0.0020128437
1030.0,0.7365269461077845,218.0,756.1382920000001,31680,7.5,45.0,0.0,25208.08,49.5,0.7628038194444444,5,5255,52,1027.0,46.67924,0.0,178.0,0.0988498263888889,104,12.5,0.13834635416666669,0.0,314.0,0.8526490066225165,0.0,288.0,334.0,246.0,204,0.005089799966663122,0.136328125,12.486116409301758,0.9989551305770874,3e-05,0.2,-27.46833505630493,19.604611968994142,0.007733366
1042.5,0.7739520958083832,231.5,757.5398780000002,32256,8.0,34.5,0.0,25430.48,50.0,0.7581018518518519,5,5355,53,1010.0,46.810877,0.0,165.5,0.10246672453703703,106,10.5,0.1394314236111111,0.0,312.5,0.8629966887417219,0.0,288.0,334.0,258.5,208,-0.0070986378937959674,0.04765625,12.915804862976074,0.998366117477417,3e-05,0.2,-27.610260009765625,24.459552478790282,0.0072000087
1044.5,0.7634730538922156,233.0,759.37734,32832,7.5,37.0,0.0,25373.855,43.0,0.761791087962963,5,5458,54,982.5,46.810877,0.0,163.5,0.09899450231481483,108,17.5,0.1392144097222222,0.0,306.5,0.8646523178807948,0.0,288.0,334.0,255.0,212,-0.0038154912646859883,0.05546875,11.374616622924805,0.9988180994987488,3e-05,0.2,-28.267298793792726,21.381534385681153,0.009869609
1043.5,0.7529940119760479,230.0,760.8253239999999,33408,6.5,37.5,0.0,25354.690000000002,49.5,0.7641059027777778,5,5561,55,1030.5,46.810877000000005,0.0,164.5,0.09639033564814814,110,15.5,0.13950376157407407,0.0,299.5,0.8638245033112583,0.0,288.0,334.0,251.5,216,-0.001691032759845257,0.051171875,10.997098922729492,0.9985306262969971,3e-05,0.2,-27.712376499176024,23.64163064956665,0.0028425064
1055.5,0.7889221556886228,247.0,763.2063379999998,33984,9.5,34.0,0.0,25658.71,50.5,0.7625868055555556,5,5663,56,1030.0,46.67924,0.0,152.5,0.09693287037037038,112,15.5,0.14048032407407407,0.0,317.5,0.8737582781456954,0.0,288.0,334.0,263.5,220,0.00010334555990993976,0.04296875,7.46333122253418,0.9989380836486816,3e-05,0.2,-27.7112135887146,20.328971099853515,0.0055143395
1048.0,0.7514970059880239,235.5,765.736768,34560,7.0,28.5,0.0,25527.935,45.5,0.768627025462963,5,5763,57,1074.5,45.933684,0.0,160.0,0.09143518518518519,114,14.5,0.13993778935185186,0.0,311.5,0.8675496688741722,0.0,288.0,334.0,251.0,224,0.007589888852089643,0.101171875,7.4553542137146,0.9985984563827515,3e-05,0.2,-27.619892024993895,23.87084517478943,0.0038870363
1037.5,0.7514970059880239,226.5,769.6548660000001,35136,10.5,36.5,0.0,25309.695,48.5,0.7754991319444444,5,5868,58,1005.0,47.688069999999996,0.0,170.5,0.0857204861111111,116,16.0,0.13878038194444445,0.0,308.0,0.8588576158940397,0.0,288.0,334.0,251.0,228,-0.0005816282238811255,0.13203125,7.988219738006592,0.9986918568611145,3e-05,0.2,-27.16351890563965,21.910530185699464,0.009541785
